ID	21C Mock 0H	21C Mock 2H	21C GA 2H	4C Mock 2H	4C GA 2H
Gene1	3.249199782	3.264209734	3.273569436	3.255921908	3.283819729
Gene2	3.364237022	3.371351994	3.454866942	4.018725802	3.614735573
Gene3	3.390190559	3.421784414	3.521365384	3.534357337	3.516218421
Gene4	3.717781979	3.752776924	3.762195866	4.27293967	3.828007745
Gene5	3.724565389	3.725925728	3.759567141	4.893610736	3.839565235
Gene6	3.835500553	3.832951702	3.911071872	4.373637466	3.922500981
Gene7	4.053759183	3.95223313	3.969519976	5.158165382	4.309938858
Gene8	4.076829096	4.013635284	4.024125952	5.099288189	4.111053593
Gene9	4.085215415	4.446680539	4.104938587	4.117149013	4.133000021
Gene10	4.08994476	4.160016422	4.181348919	4.45313752	4.018550487
Gene11	4.114337101	4.244766807	4.147457669	5.254564997	4.360147335
Gene12	4.137742401	4.249687213	4.156063167	5.100815424	4.313998485
Gene13	4.213313393	4.291398909	4.208490227	5.306610415	4.322949664
Gene14	4.22232969	4.227659557	4.208233111	5.375586655	4.275313367
Gene15	4.246082928	4.316016071	4.283123218	5.722333179	4.42009146
Gene16	4.251002087	4.295047632	4.243724605	5.697074878	4.287036604
Gene17	4.293030529	3.979518719	4.002312432	4.429363268	4.052694236
Gene18	4.302097175	4.304789343	4.268536965	5.371729724	4.334757305
Gene19	4.333346152	4.24632448	4.218309035	5.397059383	4.502349585
Gene20	4.338416343	4.380030069	4.37310452	5.61048092	4.462234502
Gene21	4.399947706	4.603157067	4.472091004	5.499213047	4.644086118
Gene22	4.498992704	4.412118299	4.478879686	5.565969787	4.77796801
Gene23	4.516424901	4.549318141	4.528225074	6.095771994	4.641777986
Gene24	4.538642255	4.554159895	4.654997153	6.020529152	4.639575293
Gene25	4.571783517	4.571511401	4.528320748	5.078798459	4.611210505
Gene26	4.577432422	4.592066275	4.485066196	6.009425934	4.715383171
Gene27	4.596217887	4.624721095	4.642328061	5.745453069	4.726541378
Gene28	4.651460104	4.644337872	4.777007675	5.931477539	4.703839257
Gene29	4.652778983	4.690264355	4.777512133	5.382143232	4.712343465
Gene30	4.656731286	4.716901411	4.66617676	5.833491751	4.818293653
Gene31	4.667011412	4.806084968	4.663431857	5.973112096	4.713030256
Gene32	4.784492387	4.691985134	4.786141025	5.267939256	4.714504751
Gene33	4.78819551	4.683621346	4.916238275	5.874184881	4.845764824
Gene34	4.825347308	5.008185578	5.124439767	5.614067598	4.975209819
Gene35	4.83735647	4.740836808	4.941913929	6.107814284	4.943929186
Gene36	4.964399006	5.125088047	4.927530145	4.981393636	5.12799192
Gene37	4.996911228	5.20903823	5.066015163	5.944288437	4.929123016
Gene38	5.007817496	4.928317724	5.092501272	5.633694918	5.04758932
Gene39	5.008698056	4.92670491	4.785583955	5.943673232	4.957374227
Gene40	5.013388232	5.415192005	5.396869849	5.43760249	5.276727422
Gene41	5.045570953	5.019626681	5.294712213	5.900093816	5.145097822
Gene42	5.081756668	5.154091893	5.120147636	6.287674449	5.274405249
Gene43	5.095987213	4.9963164	5.048531529	6.305772974	5.161186996
Gene44	5.114738894	4.943037506	5.166361562	5.176608131	5.252645363
Gene45	5.117237168	5.126775478	5.021218447	6.288736433	5.262055242
Gene46	5.121575696	5.228478957	5.185605689	6.363421425	5.335215404
Gene47	5.127211248	5.313795724	5.265435242	5.866688753	5.24703872
Gene48	5.175605277	5.206468687	5.209604788	6.55687113	5.456081514
Gene49	5.195720848	5.126265531	5.338849159	5.869513437	5.188868611
Gene50	5.230491799	5.283058261	5.321551195	5.955786499	5.302494574
Gene51	5.230814304	5.104756529	5.14457883	5.918270592	5.357344111
Gene52	5.236172486	5.390711716	5.527297306	5.883266024	5.272110061
Gene53	5.249550773	5.342025817	5.362735754	6.774092776	5.559367819
Gene54	5.253722404	5.118631556	5.220655614	6.036826869	5.33468953
Gene55	5.25491194	5.457797545	5.158125973	6.94027962	5.323506712
Gene56	5.260807639	5.26968696	5.367231256	6.748981369	5.496985747
Gene57	5.264433998	5.849289946	5.277820566	6.079050984	6.300093239
Gene58	5.290104147	5.279592295	5.320035149	5.866431516	5.176838976
Gene59	5.295274537	5.694078653	5.516237497	6.179604715	6.746880947
Gene60	5.301985726	5.961152515	6.062842243	5.706074461	5.878900264
Gene61	5.354000398	5.450460578	5.528462469	5.943105653	5.512555551
Gene62	5.389299459	5.330907216	5.273484156	5.359852784	5.369575145
Gene63	5.390004119	5.251691148	5.489658904	6.109366282	5.356216663
Gene64	5.425682098	5.505719744	5.32669827	6.865049711	5.693822243
Gene65	5.44552972	6.252668462	7.140785468	5.767099247	5.765633272
Gene66	5.448560773	5.418961126	5.533764707	6.150478672	5.305014223
Gene67	5.486469578	5.63698397	5.715770363	7.526462027	5.938173069
Gene68	5.4875052	5.287202772	5.255970049	5.433450565	5.357022018
Gene69	5.512009919	5.360674985	5.607640727	6.09687023	5.428900295
Gene70	5.530740967	5.834211183	5.908106212	6.274412922	5.626852622
Gene71	5.532362098	5.698328272	5.536581262	6.515749309	5.733860892
Gene72	5.537640782	5.662968695	5.8784151	5.678056369	5.389332778
Gene73	5.56348584	5.574372564	5.797265123	6.816873182	5.699043707
