"","SL_C21h0","SL_GAT21h2","SL_GAT21h4","SL_T21h2"
"Gene1",3.23159084266667,3.33202850566667,3.20614435633333,3.25349612433333
"Gene10",4.09646075533333,4.13583996033333,4.02769911266667,4.13276076466667
"Gene100",5.938608124,6.33408299,6.203481084,6.14100051366667
"Gene101",5.95030664133333,6.20365055033333,6.14961706933333,6.04278941766667
"Gene102",5.976087338,5.66875787366667,5.95816023133333,5.78366245833333
"Gene103",6.06213557566667,6.19178700866667,6.23131634966667,5.95338018133333
"Gene104",6.143451932,6.68813769166667,6.12850418866667,6.56117250433333
"Gene105",6.03986064233333,5.861675065,5.70274171833333,5.985033548
"Gene106",6.11374652066667,6.29691033566667,6.144185832,6.24564643833333
"Gene107",6.26972379666667,5.83893644966667,5.64811909566667,6.161378759
"Gene108",6.12212075833333,6.33832699166667,6.26383172033333,6.12275564933333
"Gene109",6.16911932666667,6.56492644866667,6.00275646466667,6.249016277
"Gene11",4.11369143066667,4.192597849,4.08990207566667,4.18185939033333
"Gene110",6.15915338233333,6.511105557,6.45638524333333,6.60395614266667
"Gene111",6.15988977066667,6.34028714833333,6.52049642066667,6.218551872
"Gene112",6.06504847466667,6.292291,6.061218469,6.03102558966667
"Gene113",6.18220589333333,6.33646954433333,6.22698568266667,6.35426690466667
"Gene114",6.09492358666667,6.08682878966667,6.06006015933333,6.00320039633333
"Gene115",6.040229736,6.37507535633333,5.99231756366667,6.18955567266667
"Gene116",6.230419167,6.37148552433333,6.29990096966667,6.436393596
"Gene117",6.22538406666667,6.425404979,6.114759162,6.32687262766667
"Gene118",6.209602703,6.48479585966667,6.76727921633333,6.128589662
"Gene119",6.15673884566667,5.78751247033333,5.67703076433333,6.031381863
"Gene12",4.17915326533333,4.20664362966667,4.22107427666667,4.20462358666667
"Gene120",6.19974270266667,6.21026257866667,6.27265069533333,6.300202029
"Gene121",6.41201341166667,6.997979597,6.356231211,6.65319491466667
"Gene122",6.29249177966667,6.47017918166667,6.41155721666667,6.32663659066667
"Gene123",6.19554269366667,6.43444174966667,6.185362094,6.22316935933333
"Gene124",6.387949853,6.66746155733333,6.413171411,6.446763549
"Gene125",6.314809397,6.23386158533333,6.347528589,6.21314295966667
"Gene126",6.26998026433333,6.41018833466667,6.564415929,6.347384496
"Gene127",6.36477242733333,6.49271908866667,6.60235163833333,6.37066690866667
"Gene128",6.331521602,8.012668564,6.47976414233333,7.98058930233333
"Gene129",6.32510130666667,6.38357327266667,6.20655657966667,6.309853632
"Gene13",4.230746983,4.23839933,4.252531199,4.261872441
"Gene130",6.531701376,6.79729391,6.681750115,6.531333752
"Gene131",6.512349239,6.633647781,6.51745671133333,6.584552127
"Gene132",6.39531353766667,6.14622814833333,6.078626783,6.18085604733333
"Gene133",6.47633273533333,6.661027345,6.25430164866667,6.73254829733333
"Gene134",6.54256387,6.81331414366667,6.784145917,6.49828979366667
"Gene135",6.44159148,6.835670306,6.16853677366667,7.13273573766667
"Gene136",6.468147406,6.22599667566667,6.44142265266667,6.288182386
"Gene137",6.61574793766667,6.67930914466667,6.539682301,6.68333830533333
"Gene138",6.61977320533333,6.756964353,6.67817990266667,6.61861006166667
"Gene139",6.614011445,6.70225145966667,6.717139397,6.66453180133333
"Gene14",4.22562698566667,4.23753658566667,4.161286248,4.20824442566667
"Gene140",6.68278831666667,6.74824697866667,6.508355735,6.726689324
"Gene141",6.70372193266667,6.77683262933333,6.546843958,6.62299715333333
"Gene142",6.70496540733333,6.92429333266667,6.30444109,6.64505589
"Gene143",6.839007807,7.035548315,6.81674615633333,6.83018765433333
"Gene144",6.850768723,7.505588812,7.400404795,7.449691706
"Gene145",6.842077652,6.940921257,6.98872165633333,7.09993170033333
"Gene146",6.58540581466667,6.565658978,6.319797728,6.46302277233333
"Gene147",6.81506155666667,7.024132137,6.765775286,6.87406238466667
"Gene148",6.71444157766667,6.13533793666667,6.23679368533333,6.54077743933333
"Gene149",6.882576184,6.98154374033333,6.92424902133333,6.82872450633333
"Gene15",4.34819008033333,4.33293866633333,4.324890058,4.315101902
"Gene150",6.911985851,7.12746762166667,6.85912184166667,6.91208024333333
