ID,SL_C21h0_1,SL_C21h0_2,SL_C21h0_3,SL_T21h2_1,SL_T21h2_2,SL_T21h2_3,SL_GAT21h2_1,SL_GAT21h2_2,SL_GAT21h2_3,SL_GAT21h4_1,SL_GAT21h4_2,SL_GAT21h4_3
Gene1,3.249199782,3.22221633,3.223356416,3.264209734,3.183953753,3.312324886,3.273569436,3.376897411,3.34561867,3.142027427,3.279545064,3.196860578
Gene2,3.364237022,3.434503677,3.379324464,3.371351994,3.358607963,3.416925939,3.454866942,3.358945127,3.45906195,3.383158878,3.401528355,3.391630164
Gene3,3.390190559,3.342413162,3.323812028,3.421784414,3.281948761,3.418940821,3.521365384,3.398971445,3.472673792,3.354529321,3.503611925,3.316814315
Gene4,3.717781979,3.765424259,3.802956605,3.752776924,3.746054659,3.784645232,3.762195866,3.728121566,3.883938642,3.658033501,3.677116015,3.699292859
Gene5,3.724565389,3.716666937,3.757193009,3.725925728,3.754786996,3.717499324,3.759567141,3.716342938,3.781023962,3.760438858,3.718050417,3.708041268
Gene6,3.835500553,3.896510617,3.845901348,3.832951702,3.960749299,3.863198725,3.911071872,3.844105154,3.930361607,3.845059959,3.877879248,3.956205092
Gene7,4.053759183,4.003049728,4.00465349,3.95223313,3.982388783,4.023536973,3.969519976,4.059334272,3.971729743,4.016764083,3.99135348,4.032696443
Gene8,4.076829096,4.118755634,4.028343248,4.013635284,4.063087939,4.027905961,4.024125952,4.082274595,4.183671581,3.994441424,4.030614497,4.040042581
Gene9,4.085215415,4.121602679,4.107355956,4.446680539,4.167596404,4.331799481,4.104938587,4.406671238,4.149530756,4.156364879,4.046224823,4.166313721
Gene10,4.08994476,4.137731609,4.061705897,4.160016422,4.025649293,4.212616579,4.181348919,4.121911449,4.104259513,3.90378536,4.121886066,4.057425912
Gene11,4.114337101,4.064842688,4.161894503,4.244766807,4.176748621,4.124062743,4.147457669,4.122414701,4.307921177,4.057733876,4.109451446,4.102520905
Gene12,4.137742401,4.251984074,4.147733321,4.249687213,4.144955957,4.21922759,4.156063167,4.181994398,4.281873324,4.226541812,4.162865889,4.273815129
Gene13,4.213313393,4.201219135,4.277708421,4.291398909,4.291723919,4.202494495,4.208490227,4.181431006,4.325276757,4.253694736,4.246074828,4.257824033
Gene14,4.22232969,4.170535122,4.284016145,4.227659557,4.14975391,4.24731981,4.208233111,4.208166088,4.296210558,4.116937078,4.17023863,4.196683036
Gene15,4.246082928,4.425035537,4.373451776,4.316016071,4.313152046,4.316137589,4.283123218,4.29470208,4.420990701,4.402649682,4.337595859,4.234424633
Gene16,4.251002087,4.276639861,4.200270015,4.295047632,4.236891556,4.296953819,4.243724605,4.294769645,4.489269151,4.181873027,4.267003892,4.262814558
Gene17,4.293030529,4.009342961,4.11131549,3.979518719,4.058932968,4.078289612,4.002312432,4.124277946,4.121832176,4.06937689,4.127084142,4.003429758
Gene18,4.302097175,4.287967445,4.253267346,4.304789343,4.268391711,4.271249656,4.268536965,4.269283922,4.446769065,4.255300788,4.374237986,4.272944381
Gene19,4.333346152,4.388326556,4.283186788,4.24632448,4.260885357,4.301245346,4.218309035,4.280575281,4.431313187,4.234806483,4.331029517,4.251656096
Gene20,4.338416343,4.449686441,4.417977691,4.380030069,4.287022459,4.63758845,4.37310452,4.380041261,4.60774461,4.331539928,4.367219207,4.45119273
Gene21,4.399947706,4.642924512,4.476232288,4.603157067,4.582285067,4.424609652,4.472091004,4.521927216,4.684366701,4.5479668,4.53231955,4.480599201
Gene22,4.498992704,4.465129261,4.43152189,4.412118299,4.497946193,4.449003036,4.478879686,4.446795122,4.528215279,4.452885969,4.529156355,4.516704863
Gene23,4.516424901,4.480007003,4.520746114,4.549318141,4.49736613,4.462165629,4.528225074,4.536016304,4.515428521,4.500232985,4.413457523,4.475814902
Gene24,4.538642255,4.608913703,4.676436819,4.554159895,4.573415733,4.542424589,4.654997153,4.688040422,4.973380608,4.553511016,4.548058515,4.562047799
Gene25,4.571783517,4.377874612,4.510267792,4.571511401,4.521087131,4.46241687,4.528320748,4.507064288,4.700360312,4.564065017,4.502866183,4.601723941
Gene26,4.577432422,4.560668006,4.525560636,4.592066275,4.521659969,4.616597951,4.485066196,4.596162329,4.750689193,4.501672174,4.53970476,4.613830164
Gene27,4.596217887,4.741672988,4.599603785,4.624721095,4.578159685,4.598924334,4.642328061,4.507818095,4.950612286,4.643981598,4.666235901,4.708678264
Gene28,4.651460104,4.688091096,4.653826136,4.644337872,4.685773237,4.653012458,4.777007675,4.611747551,4.972932513,4.441671553,4.518801615,4.478481099
Gene29,4.652778983,4.799778252,4.760566281,4.690264355,4.726260046,4.856337096,4.777512133,4.712771505,4.989657264,4.641073817,4.710391839,4.785835014
