rootsample,Hair Root length,Genotype,Treatment
1,2.32,Col-0,Mock
2,2.11,Col-0,Mock
3,2.29,Col-0,Mock
4,1.12,Col-0,Mock
5,1.67,Col-0,Mock
6,2.02,Col-0,Mock
7,2.5,Col-0,Mock
8,2.2,Col-0,Mock
9,2.64,Col-0,Mock
10,3.1,Col-0,Mock
11,2.62,Col-0,Mock
12,3.69,Col-0,Mock
13,2.33,Col-0,Mock
14,2.09,Col-0,Mock
15,1.9,Col-0,Mock
16,2.23,Col-0,Mock
17,3,Col-0,Mock
18,2.68,Col-0,Mock
19,2.64,Col-0,Mock
20,2.55,Col-0,Mock
21,1.69,Col-0,Mock
22,1.81,Col-0,Mock
23,2.32,Col-0,Mock
24,2.6,Col-0,Mock
25,2.52,Col-0,Mock
26,3.74,Col-0,Mock
27,1.95,Col-0,Mock
28,2.33,Col-0,Mock
29,3.37,Col-0,Mock
30,2.23,Col-0,Mock
31,2.29,Col-0,Mock
32,2.32,Col-0,Mock
33,2.68,Col-0,Mock
34,2.24,Col-0,Mock
35,2.18,Col-0,Mock
36,1.3,Col-0,Mock
37,2.16,Col-0,Mock
38,2.33,Col-0,Mock
39,2.18,Col-0,Mock
40,2.4,Col-0,Mock
41,2.65,Col-0,Mock
42,2.1,Col-0,Mock
43,2.4,Col-0,Mock
44,2.23,Col-0,Mock
45,2.69,Col-0,Mock
46,2.45,Col-0,Mock
47,2.35,Col-0,Mock
48,2.14,Col-0,Mock
49,2.61,Col-0,Mock
50,2.18,Col-0,Mock
51,2.87,Col-0,Mock
52,1.33,Col-0,Mock
53,3.03,Col-0,Mock
54,2.02,Col-0,Mock
55,2.52,Col-0,Mock
56,1.91,Col-0,Mock
57,1.99,Col-0,Mock
58,2.55,Col-0,Mock
59,2.29,Col-0,Mock
60,2.41,Col-0,Mock
61,2.57,Col-0,Mock
62,2.56,Col-0,Mock
63,2.61,Col-0,Mock
64,2.32,Col-0,Mock
65,2.7,Col-0,Mock
66,3.64,Col-0,Mock
67,2.78,Col-0,Mock
68,1.86,Col-0,Mock
69,2.49,Col-0,Mock
70,2.61,Col-0,Mock
71,1.44,Col-0,Mock
72,2.42,Col-0,Mock
73,2.72,Col-0,Mock
74,2.71,Col-0,Mock
75,2.47,Col-0,Mock
76,2.34,Col-0,Mock
77,1.02,Col-0,Mock
78,1.91,Col-0,Mock
79,2.62,Col-0,Mock
