rootsample,length,Genotype,Treatment
1,4.88,Col-0,Mock
2,3.89,Col-0,Mock
3,3.81,Col-0,Mock
4,5.47,Col-0,Mock
5,2.15,Col-0,Mock
6,4.94,Col-0,Mock
7,6.64,Col-0,Mock
8,2.65,Col-0,Mock
9,3.5,Col-0,Mock
10,5.36,Col-0,Mock
11,4.99,Col-0,Mock
12,6.42,Col-0,Mock
13,4.39,Col-0,Mock
14,3.71,Col-0,Mock
15,2.89,Col-0,Mock
16,2.48,Col-0,Mock
17,4.88,Col-0,Mock
18,3.5,Col-0,Mock
19,2.25,Col-0,Mock
20,4.21,Col-0,Mock
21,3.16,Col-0,Mock
22,3.09,Col-0,Mock
23,5.09,Col-0,Mock
24,2.77,Col-0,Mock
25,3.61,Col-0,Mock
26,5.03,Col-0,Mock
27,6.01,Col-0,Mock
28,5.21,Col-0,Mock
29,6.63,Col-0,Mock
30,3.2,Col-0,Mock
31,3.73,Col-0,Mock
32,4.48,Col-0,Mock
33,5.01,Col-0,Mock
34,5.91,Col-0,Mock
35,3.9,Col-0,Mock
36,4.55,Col-0,Mock
37,3.31,Col-0,Mock
38,4.13,Col-0,Mock
39,4.58,Col-0,Mock
40,3.78,Col-0,Mock
41,3.82,Col-0,Mock
42,3.81,Col-0,Mock
43,5.43,Col-0,Mock
44,5.48,Col-0,Mock
45,3.81,Col-0,Mock
46,5.26,Col-0,Mock
47,3.71,Col-0,Mock
48,2.44,Col-0,Mock
49,4.63,Col-0,Mock
50,3.7,Col-0,Mock
51,3.33,Col-0,Mock
52,4.13,Col-0,Mock
53,3.68,Col-0,Mock
54,3.74,Col-0,Mock
55,2.75,Col-0,Mock
56,2.81,Col-0,Mock
57,1.69,Col-0,Mock
58,2.64,Col-0,Mock
59,3.23,Col-0,Mock
60,3.23,Col-0,Mock
61,3.62,Col-0,Mock
62,2.26,Col-0,Mock
63,3.73,Col-0,Mock
64,3.11,Col-0,Mock
65,4.26,Col-0,Mock
66,4.24,Col-0,Mock
67,5.44,Col-0,Mock
68,5,Col-0,Mock
69,4.27,Col-0,Mock
70,4.12,Col-0,Mock
71,3.8,Col-0,Mock
72,4.08,Col-0,Mock
73,3.74,Col-0,Mock
74,3.45,Col-0,Mock
75,5.74,Col-0,Mock
76,3.56,Col-0,Mock
77,3.49,Col-0,Mock
78,3.81,Col-0,Mock
79,3.92,Col-0,Mock
80,3.99,Col-0,Mock
81,3.97,Col-0,Mock
82,2.92,Col-0,Mock
83,4.42,Col-0,Mock
84,5.1,Col-0,Mock
85,4.28,Col-0,Mock
86,3.07,Col-0,Mock
87,5.28,Col-0,Mock
88,3.58,Col-0,Mock
89,4.03,Col-0,Mock
90,4.15,Col-0,Mock
91,2.5,Col-0,Mock
92,5.44,Col-0,Mock
93,4.28,Col-0,Mock
94,2.67,Col-0,Mock
95,4.12,Col-0,Mock
96,4.57,Col-0,Mock
97,3.2,Col-0,Mock
98,2.36,Col-0,Mock
99,5.04,Col-0,Mock
100,3.7,Col-0,Mock
101,3.42,Col-0,Mock
102,3.37,Col-0,Mock
103,3.61,Col-0,Mock
104,4.03,Col-0,Mock
105,5.26,Col-0,Mock
106,3.7,Col-0,Mock
107,4.87,Col-0,Mock
108,3.64,Col-0,Mock
109,2.63,Col-0,Mock
110,3.86,Col-0,Mock
111,4.99,Col-0,Mock
112,3.16,Col-0,Mock
113,5.75,Col-0,Mock
114,3.31,Col-0,Mock
115,5.92,Col-0,Mock
116,4.52,Col-0,Mock
117,5.9,Col-0,Mock
118,3.71,Col-0,Mock
119,3.2,Col-0,Mock
120,4.96,Col-0,Mock
121,6.21,Col-0,Mock
122,6,Col-0,Mock
123,3.76,Col-0,Mock
124,4.87,Col-0,Mock
125,4.94,Col-0,Mock
126,3.97,Col-0,Mock
127,2.98,Col-0,Mock
128,3.08,Col-0,Mock
129,2.87,Col-0,Mock
130,5.15,Col-0,Mock
131,4.83,Col-0,Mock
132,4.82,Col-0,Mock
133,4.56,Col-0,Mock
134,4.12,Col-0,Mock
135,4.63,Col-0,Mock
136,5.33,Col-0,Mock
137,3.75,Col-0,Mock
138,4.05,Col-0,Mock
139,3.69,Col-0,Mock
140,4.93,Col-0,Mock
141,4.45,Col-0,Mock
142,4.08,Col-0,Mock
143,4.24,Col-0,Mock
144,3.25,Col-0,Mock
145,5.8,Col-0,Mock
146,3.28,Col-0,Mock
147,4.19,Col-0,Mock
148,4.43,Col-0,Mock
149,4.25,Col-0,Mock
150,4.14,Col-0,Mock
151,4.33,Col-0,Mock
152,6.57,Col-0,Mock
153,3.78,Col-0,Mock
154,6.1,Col-0,Mock
155,4.4,Col-0,Mock
156,3.16,Col-0,Mock
157,4.94,Col-0,Mock
158,4.19,Col-0,Mock
159,2.76,Col-0,Mock
160,3.53,Col-0,Mock
161,5.3,Col-0,Mock
162,3.59,Col-0,Mock
163,5.08,Col-0,Mock
164,2.87,Col-0,Mock
165,4.77,Col-0,Mock
166,4.41,Col-0,Mock
167,4.13,Col-0,Mock
168,1.88,Col-0,Mock
169,4.52,Col-0,Mock
170,5.1,Col-0,Mock
171,4.71,Col-0,Mock
172,1.5,Col-0,Mock
173,3.23,Col-0,Mock
174,3.92,Col-0,Mock
175,5.71,Col-0,Mock
176,4.98,Col-0,Mock
177,3.55,Col-0,Mock
178,3.41,Col-0,Mock
179,2.39,Col-0,Mock
180,2.85,Col-0,Mock
181,3.97,Col-0,Mock
182,4.64,Col-0,Mock
183,4.11,Col-0,Mock
184,7.14,Col-0,Mock
185,3.02,Col-0,Mock
186,4.99,Col-0,Mock
187,2.3,Col-0,Mock
188,3.77,Col-0,Mock
189,4.04,Col-0,Mock
190,0.51,Col-0,Mock
191,3.57,Col-0,Mock
192,5.14,Col-0,Mock
193,3.11,Col-0,Mock
194,3.79,Col-0,Mock
195,3.4,Col-0,Mock
196,4.14,Col-0,Mock
197,4.49,Col-0,Mock
198,4.05,Col-0,Mock
199,4.31,Col-0,Mock
200,4.43,Col-0,Mock
201,5.32,Col-0,Mock
202,5.05,Col-0,Mock
203,3.36,Col-0,Mock
204,3.76,Col-0,Mock
205,4.29,Col-0,Mock
206,4.02,Col-0,Mock
207,5.48,Col-0,Mock
208,4.37,Col-0,Mock
209,1.73,Col-0,Mock
210,3.31,Col-0,Mock
211,3.32,Col-0,Mock
212,3.9,Col-0,Mock
213,4.58,Col-0,Mock
214,4.14,Col-0,Mock
215,1.64,Col-0,Mock
216,4.79,Col-0,Mock
217,2.6,Col-0,Mock
218,3.12,Col-0,Mock
219,4.21,Col-0,Mock
220,2.57,Col-0,Mock
221,2.97,Col-0,Mock
222,3.4,Col-0,Mock
223,4.06,Col-0,Mock
224,2.33,Col-0,Mock
225,4.49,Col-0,Mock
226,3.15,Col-0,Mock
227,5.41,Col-0,Mock
228,2.2,Col-0,Mock
229,4.16,Col-0,Mock
230,3.14,Col-0,Mock
231,2.59,Col-0,Mock
232,4.6,Col-0,Mock
233,4.24,Col-0,Mock
234,5.13,Col-0,Mock
235,4.25,Col-0,Mock
236,4.42,Col-0,Mock
237,3.61,Col-0,Mock
238,4.41,Col-0,Mock
239,3.08,Col-0,Mock
240,4.33,Col-0,Mock
241,4.75,Col-0,Mock
242,3.36,Col-0,Mock
243,3.36,Col-0,Mock
244,2.74,Col-0,Mock
245,3.23,Col-0,Mock
246,2.8,Col-0,Mock
247,4.65,Col-0,Mock
248,4.58,Col-0,Mock
249,3.57,Col-0,Mock
250,2.84,Col-0,Mock
251,3.58,Col-0,Mock
252,3.72,Col-0,Mock
253,3.75,Col-0,Mock
254,3.51,Col-0,Mock
255,4.23,Col-0,Mock
256,2.79,Col-0,Mock
257,3.16,Col-0,Mock
258,5.24,Col-0,Mock
259,4.65,Col-0,Mock
260,4.54,Col-0,Mock
261,5.6,Col-0,Mock
262,3.71,Col-0,Mock
263,4.43,Col-0,Mock
264,3.31,Col-0,Mock
265,4.96,Col-0,Mock
266,3.72,Col-0,Mock
267,2.77,Col-0,Mock
268,2.84,Col-0,Mock
269,3.81,Col-0,Mock
270,4.67,Col-0,Mock
271,3.75,Col-0,Mock
272,4.11,Col-0,Mock
273,2.05,Col-0,Mock
274,4.26,Col-0,Mock
275,3.67,Col-0,Mock
276,4.75,Col-0,Mock
277,4.18,Col-0,Mock
278,3.89,Col-0,Mock
279,5.05,Col-0,Mock
280,5.28,Col-0,Mock
281,3.33,Col-0,Mock
282,3.6,Col-0,Mock
283,2.77,Col-0,Mock
284,4.48,Col-0,Mock
285,4.28,Col-0,Mock
286,3.46,Col-0,Mock
287,3.77,Col-0,Mock
288,4.46,Col-0,Mock
289,5.05,Col-0,Mock
290,4.7,Col-0,Mock
291,4.83,Col-0,Mock
292,3.47,Col-0,Mock
293,5.58,Col-0,Mock
294,3.7,Col-0,Mock
