rootlength,Hair Root length,Sample,Genotype,Treatment
4.18,1.97,ga1-13_GA,ga1-13,GA
4.5,3.05,ga1-13_GA,ga1-13,GA
4.1,1.66,ga1-13_GA,ga1-13,GA
2.96,3.62,ga1-13_GA,ga1-13,GA
3.89,1.6,ga1-13_GA,ga1-13,GA
3.67,2.97,ga1-13_GA,ga1-13,GA
4.55,2.37,ga1-13_GA,ga1-13,GA
4,1.68,ga1-13_GA,ga1-13,GA
3.21,1.64,ga1-13_GA,ga1-13,GA
5.51,2.44,ga1-13_GA,ga1-13,GA
5.29,2.17,ga1-13_GA,ga1-13,GA
4.72,3,ga1-13_GA,ga1-13,GA
2.12,2.19,ga1-13_GA,ga1-13,GA
4.46,1.78,ga1-13_GA,ga1-13,GA
3.01,2.79,ga1-13_GA,ga1-13,GA
4.12,1.95,ga1-13_GA,ga1-13,GA
3.48,2.82,ga1-13_GA,ga1-13,GA
2.78,2.26,ga1-13_GA,ga1-13,GA
4.5,2.16,ga1-13_GA,ga1-13,GA
4.02,2.94,ga1-13_GA,ga1-13,GA
3.76,3.24,ga1-13_GA,ga1-13,GA
4.61,0.75,ga1-13_GA,ga1-13,GA
4.63,2.64,ga1-13_GA,ga1-13,GA
4.23,3.04,ga1-13_GA,ga1-13,GA
4.27,2.54,ga1-13_GA,ga1-13,GA
3.63,1.96,ga1-13_GA,ga1-13,GA
5.12,2.39,ga1-13_GA,ga1-13,GA
5.65,2.62,ga1-13_GA,ga1-13,GA
4.58,3.64,ga1-13_GA,ga1-13,GA
3.48,2.18,ga1-13_GA,ga1-13,GA
4.63,2.17,ga1-13_GA,ga1-13,GA
3.53,3.07,ga1-13_GA,ga1-13,GA
4.13,1.67,ga1-13_GA,ga1-13,GA
3.55,2.56,ga1-13_GA,ga1-13,GA
3.34,2.8,ga1-13_GA,ga1-13,GA
4.2,3.12,ga1-13_GA,ga1-13,GA
4.87,2.28,ga1-13_GA,ga1-13,GA
3.62,2.73,ga1-13_GA,ga1-13,GA
4.57,0.91,ga1-13_GA,ga1-13,GA
5.55,2.66,ga1-13_GA,ga1-13,GA
2.38,1.45,ga1-13_GA,ga1-13,GA
3.85,3.56,ga1-13_GA,ga1-13,GA
4.33,2.99,ga1-13_GA,ga1-13,GA
2.5,2.88,ga1-13_GA,ga1-13,GA
2.93,1.95,ga1-13_GA,ga1-13,GA
4.08,2.9,ga1-13_GA,ga1-13,GA
5.09,2.46,ga1-13_GA,ga1-13,GA
4.55,4.2,ga1-13_GA,ga1-13,GA
3.71,3.5,ga1-13_GA,ga1-13,GA
4.01,1.61,ga1-13_GA,ga1-13,GA
5,1.56,ga1-13_GA,ga1-13,GA
4.17,3,ga1-13_GA,ga1-13,GA
3.13,2.29,ga1-13_GA,ga1-13,GA
5.83,3.26,ga1-13_GA,ga1-13,GA
3.72,2.44,ga1-13_GA,ga1-13,GA
3.86,2.47,ga1-13_GA,ga1-13,GA
4.16,2.41,ga1-13_GA,ga1-13,GA
3.12,2.01,ga1-13_GA,ga1-13,GA
5.04,2.52,ga1-13_GA,ga1-13,GA
3.56,3.27,ga1-13_GA,ga1-13,GA
5.57,2.92,ga1-13_GA,ga1-13,GA
4.72,1.84,ga1-13_GA,ga1-13,GA
2.99,1.68,ga1-13_GA,ga1-13,GA
1.76,2.98,ga1-13_GA,ga1-13,GA
4.83,1.99,ga1-13_GA,ga1-13,GA
3.82,3.35,ga1-13_GA,ga1-13,GA
2.51,2.43,ga1-13_GA,ga1-13,GA
1.4,1.01,ga1-13_GA,ga1-13,GA
4.28,1.12,ga1-13_GA,ga1-13,GA
4.53,2.15,ga1-13_GA,ga1-13,GA
5.45,2.52,ga1-13_GA,ga1-13,GA
2.94,1.75,ga1-13_GA,ga1-13,GA
5.14,1.63,ga1-13_GA,ga1-13,GA
3.93,3.69,ga1-13_GA,ga1-13,GA
3.46,1.9,ga1-13_GA,ga1-13,GA
3.18,1.63,ga1-13_GA,ga1-13,GA
3.94,2.63,ga1-13_GA,ga1-13,GA
1.8,2.92,ga1-13_GA,ga1-13,GA
3.19,1.85,ga1-13_GA,ga1-13,GA
4.16,3.52,ga1-13_GA,ga1-13,GA
1.9,2.03,ga1-13_GA,ga1-13,GA
5.3,3.94,ga1-13_GA,ga1-13,GA
2.56,2.22,ga1-13_GA,ga1-13,GA
3.07,2.69,ga1-13_GA,ga1-13,GA
3.63,2.76,ga1-13_GA,ga1-13,GA
3.76,3.71,ga1-13_GA,ga1-13,GA
4.14,1.77,ga1-13_GA,ga1-13,GA
1.95,2.33,ga1-13_GA,ga1-13,GA
4.05,3.72,ga1-13_GA,ga1-13,GA
5.32,1.47,ga1-13_GA,ga1-13,GA
4.06,2.76,ga1-13_GA,ga1-13,GA
3.67,2.05,ga1-13_GA,ga1-13,GA
3.54,2.98,ga1-13_GA,ga1-13,GA
3.63,1.37,ga1-13_GA,ga1-13,GA
2.99,2.02,ga1-13_GA,ga1-13,GA
4.62,3.61,ga1-13_GA,ga1-13,GA
4.16,2.03,ga1-13_GA,ga1-13,GA
4.62,2.41,ga1-13_GA,ga1-13,GA
3.26,2.2,ga1-13_GA,ga1-13,GA
3.85,1.98,ga1-13_GA,ga1-13,GA
3.31,3.6,ga1-13_GA,ga1-13,GA
3.78,2.37,ga1-13_GA,ga1-13,GA
4.55,1.55,ga1-13_GA,ga1-13,GA
4.01,2.55,ga1-13_GA,ga1-13,GA
4.37,3.26,ga1-13_GA,ga1-13,GA
3.7,2.82,ga1-13_GA,ga1-13,GA
3.56,2.13,ga1-13_GA,ga1-13,GA
4.19,1.63,ga1-13_GA,ga1-13,GA
5.34,1.94,ga1-13_GA,ga1-13,GA
3.62,1.72,ga1-13_GA,ga1-13,GA
4.28,2.07,ga1-13_GA,ga1-13,GA
3.34,2.07,ga1-13_GA,ga1-13,GA
3.89,2.63,ga1-13_GA,ga1-13,GA
3.11,2.49,ga1-13_GA,ga1-13,GA
3.71,2.22,ga1-13_GA,ga1-13,GA
4.02,3.02,ga1-13_GA,ga1-13,GA
3.37,3.69,ga1-13_GA,ga1-13,GA
4.55,1.51,ga1-13_GA,ga1-13,GA
3.68,1.82,ga1-13_GA,ga1-13,GA
4.89,3.07,ga1-13_GA,ga1-13,GA
5.9,2.6,ga1-13_GA,ga1-13,GA
3.95,2.36,ga1-13_GA,ga1-13,GA
5.65,2.42,ga1-13_GA,ga1-13,GA
4.81,2.85,ga1-13_GA,ga1-13,GA
3.22,2.01,ga1-13_GA,ga1-13,GA
5.03,2.63,ga1-13_GA,ga1-13,GA
4.93,3.31,ga1-13_GA,ga1-13,GA
4.01,2.03,ga1-13_GA,ga1-13,GA
3.79,2.72,ga1-13_GA,ga1-13,GA
4.74,2.12,ga1-13_GA,ga1-13,GA
4.64,2.86,ga1-13_GA,ga1-13,GA
5.38,2.97,ga1-13_GA,ga1-13,GA
3.71,1.73,ga1-13_GA,ga1-13,GA
4.12,2.15,ga1-13_GA,ga1-13,GA
4.87,1.87,ga1-13_GA,ga1-13,GA
2.46,3.04,ga1-13_GA,ga1-13,GA
5.84,2.22,ga1-13_GA,ga1-13,GA
4.2,3.12,ga1-13_GA,ga1-13,GA
5.27,3.58,ga1-13_GA,ga1-13,GA
2.26,2.58,ga1-13_GA,ga1-13,GA
4.37,1.83,ga1-13_GA,ga1-13,GA
3.23,2.2,ga1-13_GA,ga1-13,GA
3.9,3.29,ga1-13_GA,ga1-13,GA
3.16,1.64,ga1-13_GA,ga1-13,GA
3.93,1.03,ga1-13_GA,ga1-13,GA
5.14,2.66,ga1-13_GA,ga1-13,GA
2.75,2.3,ga1-13_GA,ga1-13,GA
2.53,1.97,ga1-13_GA,ga1-13,GA
5.06,2.38,ga1-13_GA,ga1-13,GA
